,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abazin,0.0094875,0.0074375,-0.0061375,-0.0054375,-0.0105,0.0001375,0.003475,-0.00135,-0.0244,-0.012225,-0.000975,0.0035375,-0.01205,0.00275,8e-04,-0.0086,0.006575,-0.0029625,-0.0053625,0.0157625,0.0072375,0.000525,-0.0009625,-0.0053375,-0.002175
Abkhasian,0.0096,0.0114889,-0.0127,-0.0125889,-0.0126556,-0.0023556,0.0048444,-0.0027444,-0.0300778,-0.0122333,-0.0011889,0.0065889,-0.0163667,0.0034,0.0017444,-0.0182444,0.007,-0.0043,-0.0091556,0.0157778,0.0114444,0.0016556,0.0026333,-0.0075111,-0.0016222
Abkhasian_Gudauta,0.00975,0.012,-0.0131,-0.01145,-0.01255,-0.0021,0.0047,-0.00185,-0.02975,-0.01275,0.0019,0.0089,-0.0179,-0.0012,0.00605,-0.0052,0.0197,-0.00245,-0.0082,0.02155,0.0099,-1e-04,0.00305,-0.00425,-0.00535
Adygei,0.0099111,0.0101778,-0.0078889,-0.0059556,-0.0108667,-0.0007444,0.0039,-0.0013889,-0.0252778,-0.0132889,0.0004222,0.0050222,-0.0135667,0.0033111,0.0038556,-0.0122444,0.0066556,-0.0036444,-0.0095222,0.0154778,0.0076667,0.0007222,0.0021111,-0.0060222,-0.0023778
Aeta,-0.00145,-0.0328,-0.0245,0.0103,0.03385,-0.00235,0.001,-0.00605,0.0023,8e-04,0.02615,0.0013,-0.00485,0.00135,0.00345,5e-05,0.00665,0.00565,7e-04,0.00255,0.0027,-0.0145,-0.0049,-0.0062,-0.0454
Afrikaner,0.0101818,0.0127455,0.0139,0.0120773,0.0120409,0.0053773,0.0016227,0.0028091,0.0032636,0.0028455,-0.0025864,0.0028545,-0.0059364,-0.0052682,0.01045,0.00235,-0.0041955,0.0025409,0.0020682,0.0031864,0.0026682,0.0017409,0.0003727,0.0083409,0.0002682
Agta,-0.00185,-0.03265,-0.02535,0.0106,0.03395,-0.005,5e-05,-0.00395,0.00345,0.00075,0.0253,0.00305,-0.003,-0.00455,0.00275,2e-04,0.00725,0.0092,0.00405,0.00285,-6e-04,-0.0228,-0.00935,-0.00675,-0.0514
Akha,0.0014333,-0.0427,-0.0054733,-0.01562,0.02641,0.01294,0.00038,-0.0015333,-0.0031833,-0.0007567,-0.01591,-0.0026533,0.0015967,-0.0018333,-0.00292,-0.0004233,0.00143,-0.0028233,-0.0050133,0.0034167,-0.0012267,0.0170233,0.0034467,0.0018767,0.02646
Akhvakh,0.01025,0.010525,-0.0057833,0.005825,-0.0132,0.0045667,0.0022333,-0.0011167,-0.029925,-0.0242583,-0.004,0.0045917,-0.0089917,-0.0084583,0.01155,-0.0009167,0.0004583,-0.000525,-0.0030333,0.0040583,0.0006083,0.0007333,0.00425,0.005275,-0.000775
Alawite,0.0072818,0.0137182,-0.0123636,-0.0215091,-0.0053091,-0.0073273,-0.0004364,-0.0024273,-0.0009909,0.0035818,0.0033182,-0.0025091,0.0052545,0.0010091,-0.0044,0.0035545,-0.0017455,0.0004091,0.0030455,-0.0023,-0.0006727,-2e-04,0.0008273,0.0022,0.0001273
Albanian,0.0107395,0.0141395,0.0046579,-0.0048816,0.0085763,-0.0026316,0.0010632,0.0006368,0.0007368,0.0095,-0.0005316,0.0023842,-0.0041974,0.0045658,-0.0142263,-0.0015816,0.0092026,0.0004237,0.0058868,-0.0049447,-0.0064816,0.0011395,0.0023,0.0027868,-0.0025316
Alevi_Dersim,0.0087286,0.0111929,-0.0146429,-0.0111643,-0.0122,-0.0019571,0.0023,-0.00215,-0.0142714,-0.0060286,0.00055,0.0001357,-0.0006786,-0.0017071,0.0020714,0.0043929,-0.0022357,0.0020571,0.0020429,-0.00685,-0.0013214,-0.0033643,0.0006714,-0.0013714,0.0031286
Algerian,-0.0059792,0.013075,-0.0019,-0.0209708,0.0068958,-0.0107833,-0.0094125,0.003225,0.0259292,0.0137708,0.0033917,-0.0041167,0.0140292,-0.0100708,0.0095958,-0.0076708,-0.002575,-0.0129458,-0.025175,0.005725,-0.007725,-0.0228792,0.0147583,-0.0002208,0.0010792
Algerian_Jew,0.0065625,0.01435,-0.005625,-0.0188875,0.0036125,-0.0094,-0.0024375,-0.00125,0.0077875,0.011425,0.003075,-0.0011,0.004875,-0.0032375,-0.00395,-0.0006375,-0.0016,-0.0012125,-0.0046,-0.002175,-0.0028625,-0.001275,0.00085,0.0003625,-0.001
Altaian,0.0049727,-0.0286318,0.0190636,-0.0013818,-0.0205,-0.0090455,0.0051136,0.0062182,-0.0002045,0.00045,-0.0099909,-0.0013818,-0.0003909,-0.0102227,0.0019273,0.0015091,-0.0020455,-0.0016045,0.0091364,0.0122045,-0.0212545,0.0006818,-0.0105773,-0.0040818,-0.0019909
Altaian_Kizhi,0.0047833,-0.0295167,0.0190944,-0.0021056,-0.0197389,-0.0090167,0.0052833,0.0073611,0.0001667,-0.0001556,-0.0076722,-0.0006722,-0.0007667,-0.0103389,0.0003889,0.0023056,-0.0005278,0.0009222,0.0073944,0.0129722,-0.0235222,2.78e-05,-0.0092667,-0.00295,-0.0017389
Altaian_Kizhi_o,0.0071,-0.019,0.0188,0.0029,-0.0144,-0.0041,0.0054,0.0057,-8e-04,-0.0036,-0.0082,-0.0035,4e-04,-0.0101,0.0074,0.0085,2e-04,-0.0021,-6e-04,0.0075,-0.0183,0.0047,-0.0053,-0.0016,-0.005
