,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abazin,0.10799,0.07553,-0.023146,-0.017563,-0.032314,0.000383,0.008167,-0.003115,-0.049904,-0.022278,-0.001583,0.005302,-0.017914,0.003785,0.001086,-0.011403,0.008573,-0.003753,-0.006741,0.019713,0.009031,0.000649,-0.001186,-0.006432,-0.002605
Abkhasian,0.10927,0.116673,-0.047894,-0.040662,-0.038948,-0.00657,0.011385,-0.006333,-0.061516,-0.022293,-0.001931,0.009875,-0.024331,0.004679,0.002368,-0.02419,0.009127,-0.005448,-0.011508,0.019732,0.01428,0.002047,0.003245,-0.009051,-0.001943
Abkhasian_Gudauta,0.110978,0.121864,-0.049403,-0.036984,-0.038623,-0.005857,0.011045,-0.004269,-0.060846,-0.023235,0.003085,0.013338,-0.02661,-0.001651,0.008211,-0.006895,0.025686,-0.003104,-0.010307,0.02695,0.012353,-0.000124,0.003759,-0.005121,-0.006407
Adygei,0.112811,0.103359,-0.029751,-0.019237,-0.033442,-0.002076,0.009165,-0.003205,-0.051699,-0.024217,0.000686,0.007527,-0.020168,0.004557,0.005233,-0.016235,0.008678,-0.004617,-0.011969,0.019357,0.009566,0.000893,0.002602,-0.007257,-0.002847
Aeta,-0.016504,-0.333094,-0.092395,0.033269,0.104173,-0.006554,0.00235,-0.013961,0.004704,0.001458,0.042465,0.001948,-0.00721,0.001858,0.004682,6.6e-05,0.008671,0.007158,0.00088,0.003189,0.003369,-0.01793,-0.006039,-0.007471,-0.054366
Afrikaner,0.115892,0.129434,0.05242,0.03901,0.037056,0.014997,0.003814,0.006482,0.006675,0.005186,-0.0042,0.004278,-0.008825,-0.00725,0.014183,0.003116,-0.00547,0.003219,0.0026,0.003985,0.003329,0.002153,0.000459,0.010051,0.000321
Agta,-0.021057,-0.33157,-0.0956,0.034238,0.104481,-0.013945,0.000118,-0.009115,0.007056,0.001367,0.041084,0.004571,-0.00446,-0.006262,0.003732,0.000265,0.009453,0.011655,0.005091,0.003564,-0.000749,-0.028193,-0.011524,-0.008134,-0.061551
Akha,0.016314,-0.433631,-0.020641,-0.050453,0.081277,0.036088,0.000893,-0.003538,-0.006511,-0.001379,-0.025836,-0.003976,0.002374,-0.002523,-0.003963,-0.000561,0.001864,-0.003577,-0.006302,0.004273,-0.001531,0.02105,0.004248,0.002261,0.031686
Akhvakh,0.116669,0.106884,-0.02181,0.018815,-0.040623,0.012736,0.005248,-0.002577,-0.061204,-0.044207,-0.006496,0.006881,-0.013367,-0.011641,0.015676,-0.001215,0.000598,-0.000665,-0.003813,0.005075,0.000759,0.000907,0.005238,0.006356,-0.000928
Alawite,0.082884,0.139312,-0.046626,-0.069475,-0.016339,-0.020435,-0.001026,-0.005601,-0.002027,0.006527,0.005388,-0.00376,0.007811,0.001389,-0.005972,0.004713,-0.002276,0.000518,0.003828,-0.002876,-0.000839,-0.000247,0.00102,0.002651,0.000152
Albanian,0.12224,0.143591,0.017566,-0.015768,0.026394,-0.007339,0.002499,0.001469,0.001507,0.017312,-0.000863,0.003573,-0.00624,0.006284,-0.019308,-0.002097,0.011999,0.000537,0.0074,-0.006184,-0.008088,0.001409,0.002835,0.003358,-0.003032
Alevi_Dersim,0.099352,0.113667,-0.055221,-0.036061,-0.037545,-0.005458,0.005405,-0.004961,-0.029188,-0.010986,0.000893,0.000203,-0.001009,-0.002349,0.002811,0.005825,-0.002915,0.002606,0.002568,-0.008567,-0.001649,-0.00416,0.000827,-0.001653,0.003746
Algerian,-0.068057,0.13278,-0.007165,-0.067736,0.021222,-0.030074,-0.02212,0.007442,0.053031,0.025095,0.005508,-0.00617,0.020856,-0.01386,0.013023,-0.010171,-0.003357,-0.016401,-0.031644,0.00716,-0.009639,-0.028291,0.018189,-0.000266,0.001292
