,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abazin:KCHE-1032,0.10927,0.072103,-0.023004,-0.016796,-0.028005,0.003347,0.003055,-0.010384,-0.049904,-0.019317,-0.009094,0.003897,-0.022448,0.007569,0.00095,-0.01074,-0.001173,-0.004054,-0.006662,0.023386,0.004742,-0.000124,-0.000863,-0.010965,-0.001916
Abazin:KCHE-1283,0.10927,0.071087,-0.026398,-0.014535,-0.034776,-0.000558,0.012221,0.003923,-0.058698,-0.032438,0.006171,0.013038,-0.019921,0.003716,0.004886,-0.003845,0.015646,-0.001014,0.002388,0.020135,-0.000998,-0.001607,-0.002218,-0.00964,-0.003592
Abazin:KCHE-1294,0.110408,0.078196,-0.024136,-0.01615,-0.025235,0.005299,0.00987,-0.007384,-0.040087,-0.01057,-0.002923,0.002548,-0.022745,0.002202,0.002307,-0.020551,-0.004955,-0.003927,-0.007165,0.007253,0.010232,0.007172,0.001849,0.001084,-0.00455
Abazin:KCHE-1330,0.103579,0.08632,-0.02489,-0.015504,-0.032006,0.002231,0.011516,-0.002769,-0.059925,-0.027335,0.00065,0,-0.016501,0.000688,-0.002036,-0.014585,0.001565,-0.007095,-0.017975,0.022636,0.0141,0.009027,-0.003944,-0.009278,-0.003233
Abazin:KCHE-1333,0.104717,0.066009,-0.019987,-0.020995,-0.028313,-0.007809,0.012926,-0.007384,-0.043359,-0.018224,0,0.007343,-0.019177,0.005367,0.00665,-0.005701,0.019818,-0.00152,-0.003645,0.024512,0.010731,-0.00507,-0.002958,-0.009399,-0.002515
Abazin:KCHE-1552,0.106994,0.076165,-0.029415,-0.020026,-0.03693,0.001952,0.006815,-0.004384,-0.048677,-0.020957,0.003085,0.012439,-0.017096,0.000826,-0.005429,-0.017767,0.009518,-0.003927,0.001885,0.011255,0.006489,-0.000989,-0.006162,-0.004579,0.002994
Abazin:KCHE-1559,0.104717,0.06804,-0.018856,-0.02584,-0.038776,0.000558,0.00611,-0.002077,-0.044995,-0.020957,-0.005846,-0.000899,-0.015758,0.001514,0.000679,-0.001458,0.025034,-0.003674,-0.015209,0.025387,0.013601,-0.001731,0.002835,-0.001566,0.003473
Abazin:KCHE-1560,0.114961,0.08632,-0.018479,-0.010659,-0.034468,-0.001952,0.00282,0.005538,-0.053585,-0.028429,-0.004709,0.004046,-0.009663,0.008395,0.000679,-0.016574,0.003129,-0.004814,-0.007542,0.023136,0.013351,-0.001484,0.001972,-0.007109,-0.011496
Abkhasian_Gudauta:ABKH2,0.108132,0.123895,-0.057322,-0.03553,-0.037545,-0.007251,0.011986,-0.003923,-0.055426,-0.023508,0.002273,0.013188,-0.026313,0.003441,0.008143,-0.005171,0.026989,-0.0019,-0.005531,0.025012,0.012353,0.002102,0.005176,-0.004458,-0.003473
Abkhasian_Gudauta:ABKH3,0.113823,0.119832,-0.041483,-0.038437,-0.0397,-0.004462,0.010105,-0.004615,-0.066266,-0.022962,0.003897,0.013488,-0.026908,-0.006744,0.008279,-0.008618,0.024382,-0.004307,-0.015084,0.028889,0.012353,-0.002349,0.002342,-0.005784,-0.00934
Abkhasian:349_R02C02,0.106994,0.110693,-0.048649,-0.038114,-0.047086,-0.009761,0.011751,-0.006,-0.063198,-0.02934,-0.003735,0.007194,-0.019623,0.00578,0.009365,-0.018695,0.020601,-0.007475,-0.00993,0.017133,0.012728,-0.000247,0.008381,-0.009037,-0.006466
Abkhasian:350_R01C02,0.111547,0.123895,-0.05506,-0.044251,-0.041238,-0.01004,0.012456,-0.007384,-0.058494,-0.023508,-0.005196,0.009741,-0.021704,0.005505,0.0019,-0.033015,-0.00691,-0.001394,-0.001257,0.016508,0.012228,0.004081,-0.001109,-0.005422,-0.002395
Abkhasian:350_R02C02,0.106994,0.119832,-0.050911,-0.048127,-0.037853,-0.008646,0.008695,-0.010153,-0.064016,-0.02041,-0.001461,0.012739,-0.024083,0.005505,0.002172,-0.022673,0.014994,-0.003547,-0.018603,0.022636,0.017344,0.005564,0.010106,-0.000723,-0.005748
Abkhasian:460_R01C01,0.101303,0.103584,-0.054305,-0.042636,-0.048624,-0.003904,0.009635,-0.002769,-0.05788,-0.026606,-0.004222,0.007643,-0.021407,0.003991,0.005565,-0.024662,0.00352,-0.002027,-0.005279,0.021885,0.015597,-0.000124,-0.004314,-0.01446,0.004071
Abkhasian:460_R02C01,0.104717,0.118817,-0.048271,-0.043282,-0.044624,-0.006136,0.013161,-0.010153,-0.06647,-0.015672,-0.00406,0.011839,-0.023637,0.000826,0.001764,-0.032484,0.011343,-0.006208,-0.015964,0.016758,0.011854,0.006059,0.001972,-0.011809,-0.003592
Abkhasian:460_R02C02,0.114961,0.11577,-0.028284,-0.019057,-0.019696,-0.001116,0.008695,-0.003692,-0.057676,-0.024966,-0.001137,0.008842,-0.020961,0.006606,-0.003529,-0.01485,0.015776,-0.008235,-0.009176,0.02126,0.010856,-0.004822,0.0053,-0.011929,0.004191
