,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Albania_BA_IA,0.1231566,0.1523294,0.0274544,-0.0156332,0.0270818,-0.0087572,0.000987,-0.0007846,-0.0003274,0.0256952,0.0030206,0.005785,-0.0189098,-0.0070464,-0.0095546,-0.0063644,0.0069624,-0.00038,0.0027652,-0.0069534,-0.009084,0.0029182,-0.002687,0.0059286,-0.0058678
Albania_EarlyModern_oRoma,0.0859365,0.0619475,-0.060528,0.0176035,-0.018773,0.0119925,0.0005875,0.001615,0.011862,0.015946,-0.001786,-0.0028475,0.0026015,0.008326,-0.013233,-0.0104085,0.0068455,-0.001457,0.003771,-0.000375,0.002059,0.001113,0.000801,0.00235,0.0016165
Albania_EBA_o1,0.122929,0.118817,0.033564,0.045543,-0.008309,0.01255,0.008225,-0.000462,-0.026384,-0.012392,-0.002273,0.000749,-0.006838,0.002477,0.014251,-0.009679,-0.014212,0.003927,0.010307,-0.00988,-0.010731,-0.003091,0.014666,0.010845,-0.011496
Albania_IA,0.132035,0.156392,0.034695,-0.011628,0.035083,-0.001952,0.00329,0.000692,0.002659,0.031345,0.008607,0.016785,-0.023934,-0.004404,-0.013572,0.000663,0.011865,0.006714,0.011313,-0.010005,-0.007736,-0.000371,-0.002588,0.007832,-0.007784
Albania_LN_C,0.123498,0.1858415,0.003394,-0.1022295,0.04647,-0.0471325,-0.003995,-0.0010385,0.037939,0.082553,0.0086065,0.013638,-0.023265,0.0030275,-0.040241,-0.017104,0.0095835,-0.0004435,0.0086735,-0.0171335,-0.011667,0.0051315,-0.0044985,-0.0023495,-0.008921
Albania_MBA,0.125205,0.14319,0.019233,0.003876,0.032621,-0.019522,0.00658,-0.011999,0.008795,0.033531,0.001461,0.005095,-0.006541,-0.021469,-0.010043,0.004773,0.02725,-0.009755,0.001383,0.008754,-0.003993,0.006677,0.009737,0.01205,0.007424
Albania_Medieval,0.1206525,0.1543605,0.0143305,-0.03553,0.024312,-0.007251,-0.002115,-0.001269,0.003068,0.019864,0.0020295,0.005545,-0.013082,0.0008255,-0.0192725,-0.012596,0.010561,-0.002154,0.008296,-0.0155075,-0.009421,0.0030295,0.0003695,-0.0013855,0
Albania_Modern,0.1220184,0.1486734,0.014934,-0.0221578,0.0270204,-0.0087572,0.002491,0.0023998,0.0008998,0.0174582,0.0027282,0.0060248,-0.0076114,0.006936,-0.0207924,0.0010872,0.0178106,0.00038,0.0054804,-0.0047522,-0.0116046,0.0032892,0.0015038,0.0046272,-0.0064664
Algeria_NumidoRoman_Berber.SG,0.0916275,0.150298,-0.024324,-0.0521645,0.008155,-0.021335,0.0034075,-0.0003465,0.006954,0.021048,0.0022735,0.003822,-0.0039395,0.0001375,-0.002375,-0.0028505,0.005411,-0.002154,-6.30E-05,-0.005565,-0.005116,-0.005626,0.00228,0.001145,0.0044305
Argentina_Aconcagua_Inca_500BP.SG,0.054635,-0.317861,0.123696,0.099161,-0.115098,-0.013666,-0.307864,-0.374061,-0.016975,-0.012757,0.001137,-0.000599,-0.000595,0.022708,-0.005972,0.006895,0.000782,-0.004054,0.00993,-0.001876,-0.004742,0.010263,0.001479,0.00494,-0.00455
Argentina_ArroyoSeco2_7200BP,0.054635,-0.30669,0.119547,0.086564,-0.10802,-0.008088,-0.285773,-0.332525,-0.01084,-0.009112,0.000812,-0.007194,-0.000446,0.012937,-0.004614,0.01074,0.002738,-0.008615,0.003771,0.004127,-0.007487,0.012489,0.008381,-0.002651,0.001437
Argentina_ArroyoSeco2_7700BP,0.0557733,-0.3134603,0.1199243,0.095608,-0.110995,-0.022962,-0.283658,-0.34337,-0.012067,-0.0180413,0.005413,0.0020983,4.93E-05,0.021882,-0.0106763,0.005215,0.0070403,-4.20E-05,0.008212,0.004002,-4.17E-05,0.005894,-0.0054227,-0.003695,-0.0007983
Argentina_BeagleChannel_Yamana_100BP,0.056153,-0.321923,0.1186673,0.0971153,-0.114278,-0.0211023,-0.2954083,-0.3516777,-0.0111127,-0.0148823,0.0022737,-0.0018483,0.000793,0.0215153,-0.0009953,0.002519,-0.0001307,-0.006926,-0.0042737,0.0020843,-0.0052823,-0.0004533,-0.0050943,-0.001727,-0.0061867
Argentina_BeagleChannel_Yamana_100BP.SG,0.0481853,-0.3181993,0.118793,0.092701,-0.119202,-0.020545,-0.280446,-0.3439087,-0.0126123,-0.0159153,0.0015157,0.003547,0.0022793,0.020643,-0.0048407,0.0095907,0.0039983,0.002787,-0.0031427,0.0047107,0.0047413,0.00507,-0.0058747,-0.0041367,-0.0031133
Argentina_BeagleChannel_Yamana_1500BP,0.053497,-0.316845,0.118039,0.094962,-0.116329,-0.026495,-0.292588,-0.341524,-0.012271,-0.016219,-0.003085,0.002847,0.000743,0.028901,-0.003529,0.010607,0.006258,0.000253,-0.004148,0.003752,0.004243,0.009521,-0.007148,0.007109,-0.004191
Argentina_LagunaChica_1600BP,0.053497,-0.323954,0.117662,0.090117,-0.108636,-0.015339,-0.291648,-0.349832,-0.019021,-0.015672,-0.014128,-0.005995,0.003717,0.026286,-0.007193,0.002784,0.007041,-0.004054,-0.000628,0.006128,-0.005865,0.013107,-0.003574,-0.00482,-0.006227
