,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Albania_BA_IA:I14688,0.119514,0.160454,0.02225,-0.028101,0.024312,-0.017012,0.00141,-0.001385,-0.001841,0.024237,0.001137,0.008243,-0.019326,-0.003028,-0.007193,-0.016176,-0.008736,0.003674,0.003645,-0.004502,-0.013726,0.009645,-0.001849,0.011809,-0.011855
Albania_BA_IA:I14690,0.12862,0.146236,0.036958,-0.010982,0.032621,-0.006136,0.00047,0.001846,0.002659,0.018588,0.006171,0.003597,-0.017691,-0.00578,-0.004343,0.00053,0.007171,0.000507,0.004525,-0.00025,-0.012228,0.000247,0.003204,-0.002169,-0.002874
Albania_BA_IA:I14692,0.126344,0.15436,0.02489,-0.012597,0.022158,-0.001673,-0.007285,0.002077,0.003681,0.028247,0.008282,0.01094,-0.019921,-0.001789,-0.010993,-0.007558,0.008084,-0.00114,0.008799,-0.005753,-0.010731,-0.001607,0.001725,0.01205,0.002155
Albania_BA_IA:I16251,0.124067,0.141159,0.01697,-0.017119,0.025851,-0.005857,0.00235,0.007615,0.003068,0.023508,0.002436,0.003897,-0.01888,-0.017891,-0.011808,-0.00358,0.008996,-0.004561,0.007793,-0.010005,-0.002995,0.008779,-0.00456,-0.002892,-0.008263
Albania_BA_IA:I16254,0.117238,0.159438,0.036204,-0.009367,0.030467,-0.013108,0.00799,-0.014076,-0.009204,0.033896,-0.002923,0.002248,-0.018731,-0.006744,-0.013436,-0.005038,0.019297,-0.00038,-0.010936,-0.014257,-0.00574,-0.002473,-0.011955,0.010845,-0.008502
Albania_EarlyModern_oRoma:I13833,0.084229,0.051792,-0.068259,0.020672,-0.02739,0.015618,0.001645,0.001615,0.007567,0.015855,-0.004709,0.002398,0.007582,0.007156,-0.011265,-0.015248,0.001565,0.00228,0.004777,-0.004752,-0.003494,0.00136,0.003204,-0.000361,0.00467
Albania_EarlyModern_oRoma:I13835,0.087644,0.072103,-0.052797,0.014535,-0.010156,0.008367,-0.00047,0.001615,0.016157,0.016037,0.001137,-0.008093,-0.002379,0.009496,-0.015201,-0.005569,0.012126,-0.005194,0.002765,0.004002,0.007612,0.000866,-0.001602,0.005061,-0.001437
Albania_EBA_o1:I14689,0.122929,0.118817,0.033564,0.045543,-0.008309,0.01255,0.008225,-0.000462,-0.026384,-0.012392,-0.002273,0.000749,-0.006838,0.002477,0.014251,-0.009679,-0.014212,0.003927,0.010307,-0.00988,-0.010731,-0.003091,0.014666,0.010845,-0.011496
Albania_IA:I16253,0.132035,0.156392,0.034695,-0.011628,0.035083,-0.001952,0.00329,0.000692,0.002659,0.031345,0.008607,0.016785,-0.023934,-0.004404,-0.013572,0.000663,0.011865,0.006714,0.011313,-0.010005,-0.007736,-0.000371,-0.002588,0.007832,-0.007784
Albania_LN_C:I13838,0.121791,0.182795,0,-0.103683,0.047701,-0.049921,-0.003525,-0.002308,0.033542,0.078544,0.012829,0.013638,-0.023488,0.004404,-0.040852,-0.021347,0.007041,-0.001014,0.009679,-0.014382,-0.007362,0.005564,-0.002835,-0.001566,-0.011855
Albania_LN_C:I13840,0.125205,0.188888,0.006788,-0.100776,0.045239,-0.044344,-0.004465,0.000231,0.042336,0.086562,0.004384,0.013638,-0.023042,0.001651,-0.03963,-0.012861,0.012126,0.000127,0.007668,-0.019885,-0.015972,0.004699,-0.006162,-0.003133,-0.005987
Albania_MBA:I8471,0.125205,0.14319,0.019233,0.003876,0.032621,-0.019522,0.00658,-0.011999,0.008795,0.033531,0.001461,0.005095,-0.006541,-0.021469,-0.010043,0.004773,0.02725,-0.009755,0.001383,0.008754,-0.003993,0.006677,0.009737,0.01205,0.007424
Albania_Medieval:I13839,0.125205,0.153345,0.016216,-0.036176,0.03139,-0.013108,0,0.002077,0.007772,0.02278,-0.001949,0.003447,-0.014717,0.001376,-0.02158,-0.01074,0.008996,0.004307,0.006536,-0.016508,-0.007237,0.001113,0.005053,-0.001205,0.001676
Albania_Medieval:I14622,0.1161,0.155376,0.012445,-0.034884,0.017234,-0.001394,-0.00423,-0.004615,-0.001636,0.016948,0.006008,0.007643,-0.011447,0.000275,-0.016965,-0.014452,0.012126,-0.008615,0.010056,-0.014507,-0.011605,0.004946,-0.004314,-0.001566,-0.001676
Albania_Modern:I14685,0.127482,0.146236,0.023759,-0.020672,0.028621,-0.008088,0.005875,0.000692,-0.000205,0.004191,0.004709,0.000899,-0.002973,0.017478,-0.019815,-0.000265,0.016298,-0.002154,0.00905,-0.000625,-0.008735,0.000247,-0.002588,0.006025,-0.003952
Albania_Modern:I14686,0.1161,0.152329,0.00792,-0.028747,0.019696,-0.009761,0.001175,0.003461,-0.003886,0.023873,-0.002111,0.014987,-0.010852,0.009083,-0.028366,0.001458,0.009388,0.003294,0.008925,-0.006128,-0.011729,0.008532,0.002958,0.008194,-0.008622
Albania_Modern:I14687,0.120652,0.152329,0.004148,-0.020672,0.03416,-0.006136,0.000235,0.006692,0.003068,0.026424,0.009906,0.002698,-0.008771,0.002064,-0.021715,0.005569,0.028424,0.002407,0.002388,-0.007629,-0.016346,0.007543,0.007765,0.006868,-0.01892
Albania_Modern:I15706,0.119514,0.14319,0.018856,-0.014535,0.023389,-0.003904,-0.002115,0.006231,0.005522,0.005832,0.003573,0.004646,0.004162,0.009771,-0.015879,-0.002387,0.005346,0.000127,0.00088,-5.00E-04,-0.005116,-0.00643,0.003451,-0.002771,-0.002275
Albania_Modern:I15707,0.126344,0.149283,0.019987,-0.026163,0.029236,-0.015897,0.007285,-0.005077,0,0.026971,-0.002436,0.006894,-0.019623,-0.003716,-0.018187,0.001061,0.029597,-0.001774,0.006159,-0.008879,-0.016097,0.006554,-0.004067,0.00482,0.001437
Algeria_NumidoRoman_Berber.SG:R10760.SG,0.100164,0.148267,-0.035072,-0.048773,-0.000308,-0.015618,-0.000235,-0.000231,-0.008385,0.010934,0.005034,0.001499,-0.000595,-0.001239,-0.010722,0.000133,0.00665,0.00076,0.001634,-0.013256,-0.005366,-0.001978,-0.008258,-0.002289,0.001676
Algeria_NumidoRoman_Berber.SG:R10766.SG,0.083091,0.152329,-0.013576,-0.055556,0.016618,-0.027052,0.00705,-0.000462,0.022293,0.031162,-0.000487,0.006145,-0.007284,0.001514,0.005972,-0.005834,0.004172,-0.005068,-0.00176,0.002126,-0.004866,-0.009274,0.012818,0.004579,0.007185
Argentina_Aconcagua_Inca_500BP.SG:Aconcagua_noUDG.SG,0.054635,-0.317861,0.123696,0.099161,-0.115098,-0.013666,-0.307864,-0.374061,-0.016975,-0.012757,0.001137,-0.000599,-0.000595,0.022708,-0.005972,0.006895,0.000782,-0.004054,0.00993,-0.001876,-0.004742,0.010263,0.001479,0.00494,-0.00455
Argentina_ArroyoSeco2_7200BP:I7090,0.054635,-0.30669,0.119547,0.086564,-0.10802,-0.008088,-0.285773,-0.332525,-0.01084,-0.009112,0.000812,-0.007194,-0.000446,0.012937,-0.004614,0.01074,0.002738,-0.008615,0.003771,0.004127,-0.007487,0.012489,0.008381,-0.002651,0.001437
Argentina_ArroyoSeco2_7700BP:I0308,0.052359,-0.31583,0.118416,0.092701,-0.112944,-0.022869,-0.282953,-0.338755,-0.015953,-0.024966,0.00341,0.002398,0.001635,0.022983,-0.017779,0.001458,0.008605,0.002787,0.014958,0.001,-0.001373,0.012736,-0.003081,-0.005181,0.000958
Argentina_ArroyoSeco2_7700BP:I0309,0.055773,-0.308721,0.124827,0.091086,-0.111405,-0.027052,-0.285303,-0.345216,-0.009408,-0.01221,0.004872,0.004796,0.005203,0.024772,-0.006107,0.01074,0.002868,0.001014,0.005279,0.005503,0.003244,-0.000989,-0.002218,-0.002048,0.003233
Argentina_ArroyoSeco2_7700BP:I2230,0.059188,-0.31583,0.11653,0.103037,-0.108636,-0.018965,-0.282718,-0.346139,-0.01084,-0.016948,0.007957,-0.000899,-0.00669,0.017891,-0.008143,0.003447,0.009648,-0.003927,0.004399,0.005503,-0.001996,0.005935,-0.010969,-0.003856,-0.006586
Argentina_BeagleChannel_Yamana_100BP:I12941,0.056912,-0.325985,0.11917,0.096577,-0.118176,-0.019243,-0.291883,-0.347524,-0.011658,-0.014943,0.00406,-0.001199,0.001487,0.029589,-0.001493,0.002917,0.001043,-0.004941,-0.004022,0.008504,-0.001747,0.005935,-0.006902,0.001687,-0.003233
Argentina_BeagleChannel_Yamana_100BP:I12942,0.05805,-0.31583,0.114268,0.097546,-0.11356,-0.019801,-0.301049,-0.356754,-0.010431,-0.010205,0.006983,-0.002548,-0.000297,0.018029,-0.004072,0.001193,-0.005607,-0.014823,-0.007165,-0.003377,-0.009358,-0.008532,-0.003574,-0.006507,-0.011256
